player,playerid,strike
Al3x,76561197994861212,1
HexPucTb,76561198371732907,3
ussoR²³,76561198258325045,2
give.me.your.nukes,76561199012617633,1
zbiger_DEB,76561199135673463,2
floppa21,76561199858239415,2
HORNET AJAX,76561199203274004,1
BabyYellowBird,76561198124530862,3
BelleTower33,76561199203263210,2
SJKO,76561199420988850,3
kobeshouldadrove,76561199680336125,1
MemeBender,76561199289903437,2
TACTICALCORNDOG,76561199162359673,1
alexis,76561199059219787,2
ba,76561199200795915,2
Bubbap3,76561199138260718,1
Thunder,76561198976446937,1
RealmGod,76561198975307783,4
moyu82,76561197974613440,1
emeraldgamer,76561199871383948,4
Krampuseve,76561199245992383,1
ProtoEx,76561198372585806,1
metroid2035,76561199696316069,2
lvowell711,76561199260741465,1
huckleberry,76561199523283112,2
Shadruw,76561199229376144,1
claireoff,76561199741846971,1
Zeta,76561199050949540,1
pablopoop89,76561199531935284,2
GrackleCrow,76561199686660681,4
remy.alexander07,76561199878958965,1
jannis.bart.1991,76561199541743227,2
winencheez,76561198351155971,1
phantom,76561199483060993,1
Muscovite,76561199112376129,2
Medimedi1313,76561198866249215,1
KOPEIKA,76561199675432304,1
racer,76561199387207914,1
Froggy411,76561198019246239,3
Red Ninja (The spy),76561198182318790,3
derranross,76561199482495480,1
NoLimitVortex,76561199633790360,2
UncleSam_1776,76561199455906474,1
storm_chaser,76561199787999373,1
mattowen04,76561199586594731,2
ROOMBAA,76561199105249586,1
formlessboss69,76561199843880820,1
jaycebfarrar,76561199873325224,2
oliver.t.geoz,76561199267521886,1
IS-3,76561198160511748,1
Axolia,76561199079476302,2
Dantzler202,76561199132984779,2
conradium09,76561198889984257,3
warwolves,76561199416387946,1
zack.ratner-miller,76561199545082361,2
caseoh the great,76561199822194500,1
Wordly-airway17,76561199699656289,1
Iota Sow,76561198435818961,1
kuro_nekomimi,76561198009486140,2
OppenDowsky,76561199198140888,2
Wolfmanlover,76561199388624185,2
Thunder Squadron,76561198111384491,2
Dizzy,76561199418823187,2
OnxyOwl,76561199023082880,1
temDylan,76561198418318644,1
